Action,Agent X,Agent Y,Predator X,Predator Y,Reward
-1,5,0,0,0,0
0,5,1,1,0,-1
2,5,0,2,0,-1
1,6,0,3,0,-1
1,7,0,4,0,-1
1,8,0,5,0,-1
0,8,1,6,0,-1
1,9,1,6,2,-1
2,9,0,7,1,-1
1,10,0,7,2,-1
0,10,1,8,2,-1
2,10,0,8,1,-1
3,9,0,8,0,-1
1,10,0,9,0,-1
0,10,1,10,0,-1
3,9,1,9,0,-1
3,8,1,8,0,-1
2,8,0,7,0,-1
3,7,0,6,0,-1
3,6,0,5,1,-1
1,7,0,6,0,-1
3,6,0,5,1,-1
1,7,0,6,2,-1
1,8,0,7,1,-1
1,9,0,8,0,-1
3,8,0,9,0,-1
1,9,0,8,1,-1
1,10,0,9,0,-1
3,9,0,8,1,-1
1,10,0,9,0,-1
0,10,1,10,0,-1
2,10,0,9,1,-1
3,9,0,9,0,-1001
3,9,0,9,0,-1001
